No,Card,CardNumber,Set,Printing,ExpectedGrade,Justification,PSA_Lower_Grade,PSA_Lower_Avg,PSA_Lower_Med,PSA_Lower_Count,PSA_Lower_Confidence,PSA_Expected_Grade,PSA_Expected_Avg,PSA_Expected_Med,PSA_Expected_Count,PSA_Expected_Confidence,PSA_Upper_Grade,PSA_Upper_Avg,PSA_Upper_Med,PSA_Upper_Count,PSA_Upper_Confidence,Raw_NM_Price,Grading_Cost,Value_Uplift,Net_ROI,ROI_Percent,Is_Selected_Variant,All_Printings_Found
56,Blastoise,4/165,Expedition,Holofoil,8,"Front holo scratch, top bottom back whitening",7,309.99,309.99,2,medium,8,650.00,650.00,1,low,9,1039.62,1274.99,4,medium,400.00,20,250.00,230.00,54.8,Y,Normal (Expedition); Normal (Expedition); Holofoil (Expedition)
57,Gyarados,H10/H32,Skyridge,Holofoil,8,"Holo scratch, corner left whitening",7,1499.99,1499.99,1,low,8,1160.00,1160.00,2,medium,9,1740.81,2275.00,6,high,1200.00,20,-40.00,-60.00,-4.9,Y,Holofoil (XY Promos); Holofoil (XY Promos); Holofoil (XY Promos); Holofoil (SM Promos); Holofoil (Jumbo Cards); Holofoil (Skyridge); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Holofoil (Celebrations: Classic Collection); Normal (HGSS Trainer Kit: Gyarados & Raichu); Holofoil (Holon Phantoms); Holofoil (Deoxys); Holofoil (Call of Legends); Unlimited Holofoil (Neo Revelation); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (Rumble); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Holofoil (HeartGold SoulSilver); Normal (Team Rocket Returns); Holofoil (XY - Evolutions); Holofoil (XY Promos); Holofoil (XY Promos); Holofoil (SM - Burning Shadows); Normal (Dragon); Normal (Nintendo Promos); Normal (Legendary Treasures); Holofoil (HGSS Trainer Kit: Gyarados & Raichu); Holofoil (HGSS Trainer Kit: Gyarados & Raichu); Holofoil (SM - Team Up); Normal (Platinum); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Holofoil (XY - BREAKpoint); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (Mysterious Treasures); Holofoil (XY - BREAKpoint); 1st Edition (Team Rocket); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu)
57,Gyarados,H10/H32,Skyridge,Holofoil,9,"Holo scratch, corner left whitening",8,1160.00,1160.00,2,medium,9,1740.81,2275.00,6,high,10,3254.92,2624.97,18,high,1200.00,20,540.81,520.81,42.7,Y,Holofoil (XY Promos); Holofoil (XY Promos); Holofoil (XY Promos); Holofoil (SM Promos); Holofoil (Jumbo Cards); Holofoil (Skyridge); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Holofoil (Celebrations: Classic Collection); Normal (HGSS Trainer Kit: Gyarados & Raichu); Holofoil (Holon Phantoms); Holofoil (Deoxys); Holofoil (Call of Legends); Unlimited Holofoil (Neo Revelation); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (Rumble); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Holofoil (HeartGold SoulSilver); Normal (Team Rocket Returns); Holofoil (XY - Evolutions); Holofoil (XY Promos); Holofoil (XY Promos); Holofoil (SM - Burning Shadows); Normal (Dragon); Normal (Nintendo Promos); Normal (Legendary Treasures); Holofoil (HGSS Trainer Kit: Gyarados & Raichu); Holofoil (HGSS Trainer Kit: Gyarados & Raichu); Holofoil (SM - Team Up); Normal (Platinum); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Holofoil (XY - BREAKpoint); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (Mysterious Treasures); Holofoil (XY - BREAKpoint); 1st Edition (Team Rocket); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu)
58,Umbreon,H30/H32,Skyridge,Holofoil,8,"Deep holo scratch, back corner dot",7,,,0,low,8,3449.26,3449.26,2,medium,9,4643.32,4643.32,2,medium,659.99,20,2789.27,2769.27,407.3,Y,Holofoil (XY Promos); Holofoil (SWSH09: Brilliant Stars Trainer Gallery); Holofoil (SWSH09: Brilliant Stars Trainer Gallery); Holofoil (SWSH: Sword & Shield Promo Cards); Holofoil (SWSH: Sword & Shield Promo Cards); Holofoil (SV: Scarlet & Violet Promo Cards); Holofoil (Hidden Fates: Shiny Vault); Holofoil (Jumbo Cards); Holofoil (SM Promos); Holofoil (SM Promos); Holofoil (Jumbo Cards); Holofoil (Skyridge); Holofoil (Aquapolis); Holofoil (Black and White Promos); Holofoil (Undaunted); Holofoil (SM Base Set); Holofoil (Plasma Freeze); Normal (Dark Explorers); Normal (Dark Explorers); Holofoil (XY - Fates Collide); 1st Edition (Neo Discovery); Normal (Majestic Dawn); Normal (Sandstorm); Holofoil (Call of Legends); Holofoil (SWSH07: Evolving Skies); Holofoil (SWSH07: Evolving Skies); Holofoil (SWSH07: Evolving Skies); Holofoil (SWSH07: Evolving Skies); Holofoil (Celebrations: Classic Collection); Holofoil (Delta Species); Holofoil (SV: Prismatic Evolutions); Holofoil (SM Base Set); Holofoil (SM Base Set); Reverse Holofoil (Miscellaneous Cards & Products); Reverse Holofoil (Miscellaneous Cards & Products); Normal (SV03: Obsidian Flames); Normal (Trick or Trade BOOster Bundle 2024); Reverse Holofoil (Miscellaneous Cards & Products); 1st Edition Holofoil (Neo Discovery); Holofoil (SM - Unified Minds); Holofoil (Blister Exclusives); Normal (SM - Lost Thunder); Holofoil (XY - Fates Collide); Normal (World Championship Decks); Holofoil (Unseen Forces); Holofoil (Undaunted); Holofoil (SWSH07: Evolving Skies); Holofoil (Prize Pack Series Cards); Holofoil (SWSH07: Evolving Skies); Normal (Deck Exclusives)
59,Raichu,H25/H32,Skyridge,Holofoil,9,,8,380.00,380.00,1,low,9,407.50,495.00,5,high,10,2033.40,2033.40,2,medium,139.99,20,267.51,247.51,154.7,Y,Holofoil (SM Promos); Holofoil (Jumbo Cards); Holofoil (SM Promos); Holofoil (SM Promos); Holofoil (Jumbo Cards); Normal (Battle Academy); Normal (Battle Academy); Holofoil (SM Promos); Holofoil (Jumbo Cards); Holofoil (SM Promos); Reverse Holofoil (Jumbo Cards); Normal (Generations: Radiant Collection); Holofoil (Skyridge); Holofoil (Diamond and Pearl Promos); Holofoil (Stormfront); Holofoil (Sandstorm); Holofoil (Emerald); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Holofoil (Undaunted); 1st Edition Holofoil (Team Rocket); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Holofoil (Stormfront); Normal (Supreme Victors); Holofoil (Shining Legends); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Normal (SM - Cosmic Eclipse); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Holofoil (SM - Unified Minds); Normal (SM - Unbroken Bonds); Holofoil (SM - Unified Minds); Normal (World Championship Decks); Normal (Holon Phantoms); Holofoil (XY - BREAKthrough); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Normal (XY - BREAKthrough); Normal (Majestic Dawn); Holofoil (XY Base Set); Holofoil (SM - Burning Shadows); Normal (Next Destinies)
59,Raichu,H25/H32,Skyridge,Holofoil,10,,9,407.50,495.00,5,high,10,2033.40,2033.40,2,medium,N/A,,,0,N/A,139.99,20,1893.41,1873.41,1171.0,Y,Holofoil (SM Promos); Holofoil (Jumbo Cards); Holofoil (SM Promos); Holofoil (SM Promos); Holofoil (Jumbo Cards); Normal (Battle Academy); Normal (Battle Academy); Holofoil (SM Promos); Holofoil (Jumbo Cards); Holofoil (SM Promos); Reverse Holofoil (Jumbo Cards); Normal (Generations: Radiant Collection); Holofoil (Skyridge); Holofoil (Diamond and Pearl Promos); Holofoil (Stormfront); Holofoil (Sandstorm); Holofoil (Emerald); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Holofoil (Undaunted); 1st Edition Holofoil (Team Rocket); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Holofoil (Stormfront); Normal (Supreme Victors); Holofoil (Shining Legends); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Normal (SM - Cosmic Eclipse); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Holofoil (SM - Unified Minds); Normal (SM - Unbroken Bonds); Holofoil (SM - Unified Minds); Normal (World Championship Decks); Normal (Holon Phantoms); Holofoil (XY - BREAKthrough); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Normal (XY - BREAKthrough); Normal (Majestic Dawn); Holofoil (XY Base Set); Holofoil (SM - Burning Shadows); Normal (Next Destinies)
60,Tyranitar,29/165,Expedition,Holofoil,8,"Holo scratch front, whitening back",7,400.00,400.00,1,low,8,435.88,506.00,9,high,9,402.46,224.88,3,medium,349.74,20,86.14,66.14,17.9,Y,Normal (Expedition); Holofoil (Expedition)
61,Piloswine,H22/H32,Skyridge,Holofoil,9,Whitening at the back bottom,8,,,0,low,9,244.91,290.82,5,high,10,1340.00,1340.00,1,low,200.00,20,44.91,24.91,11.3,Y,Holofoil (Skyridge); Normal (XY - BREAKthrough); Normal (Legends Awakened); Normal (Triumphant); Normal (Nintendo Promos); Normal (Nintendo Promos); Normal (Stormfront); 1st Edition (Neo Revelation); Normal (Plasma Storm); Normal (SM - Crimson Invasion); Holofoil (Team Rocket Returns); Normal (SV09: Journey Together); 1st Edition (Neo Genesis); Normal (Skyridge); Normal (SWSH10: Astral Radiance); 1st Edition (Neo Destiny); Normal (Skyridge); Normal (ME02: Phantasmal Flames)
62,Suicune,H25/H32,Aquapolis,Holofoil,9,Whitening at top,8,224.99,224.99,2,medium,9,840.00,840.00,2,medium,10,,,0,low,449.99,20,390.00,370.00,78.7,Y,Holofoil (Shining Fates: Shiny Vault); Holofoil (SM Promos); Holofoil (SM Promos); Holofoil (Call of Legends); Holofoil (HGSS Promos); Holofoil (Aquapolis); Holofoil (Crown Zenith: Galarian Gallery); Normal (World Championship Decks); Holofoil (Unleashed); Holofoil (Team Magma vs Team Aqua); Holofoil (Unleashed); Normal (World Championship Decks); Normal (World Championship Decks); Holofoil (Unleashed); Holofoil (Unleashed); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Holofoil (SM - Lost Thunder); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Holofoil (SM - Lost Thunder); Normal (WoTC Promo); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Holofoil (XY Trainer Kit: Pikachu Libre & Suicune); Holofoil (XY Trainer Kit: Pikachu Libre & Suicune); Holofoil (XY - BREAKpoint); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Normal (XY Trainer Kit: Pikachu Libre & Suicune); 1st Edition (Neo Revelation); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Holofoil (SM - Lost Thunder)
63,Politoed,H23/H32,Skyridge,Holofoil,10,,9,578.16,564.99,6,high,10,1097.61,1000.00,3,medium,N/A,,,0,N/A,299.99,20,797.62,777.62,243.0,Y,Holofoil (Skyridge); Holofoil (Unleashed); 1st Edition (Neo Discovery); Holofoil (SM - Guardians Rising); Normal (XY - Furious Fists); Holofoil (Legends Awakened); Holofoil (Unseen Forces); 1st Edition Holofoil (Neo Discovery); Normal (SWSH11: Lost Origin); Normal (Skyridge); Holofoil (Miscellaneous Cards & Products); Reverse Holofoil (League & Championship Cards)
64,Dewgong,H6/H32,Skyridge,Holofoil,9,"Very tiny dot at corner right back, centering back left right off",8,,,0,low,9,,,0,low,10,,,0,low,389.99,20,,,,Y,Holofoil (Skyridge); Normal (SM - Unbroken Bonds); Normal (Mysterious Treasures); Holofoil (FireRed & LeafGreen); Normal (XY - Evolutions); Normal (Supreme Victors); Normal (XY - Fates Collide); Normal (Dragon Frontiers); Holofoil (ME02: Phantasmal Flames); Normal (SV: Scarlet & Violet 151); 1st Edition (Gym Challenge); 1st Edition (Neo Destiny); Normal (Legendary Collection); Normal (Base Set 2); Normal (SWSH11: Lost Origin); Normal (Base Set); 1st Edition (Base Set (Shadowless)); Normal (ME02: Phantasmal Flames); Normal (Skyridge)
64,Dewgong,H6/H32,Skyridge,Holofoil,10,"Very tiny dot at corner right back, centering back left right off",9,,,0,low,10,,,0,low,N/A,,,0,N/A,389.99,20,,,,Y,Holofoil (Skyridge); Normal (SM - Unbroken Bonds); Normal (Mysterious Treasures); Holofoil (FireRed & LeafGreen); Normal (XY - Evolutions); Normal (Supreme Victors); Normal (XY - Fates Collide); Normal (Dragon Frontiers); Holofoil (ME02: Phantasmal Flames); Normal (SV: Scarlet & Violet 151); 1st Edition (Gym Challenge); 1st Edition (Neo Destiny); Normal (Legendary Collection); Normal (Base Set 2); Normal (SWSH11: Lost Origin); Normal (Base Set); 1st Edition (Base Set (Shadowless)); Normal (ME02: Phantasmal Flames); Normal (Skyridge)
65,Magneton,H19/H32,Skyridge,Holofoil,8,"Holo scratch, edges indent back top, corner back whitening",7,185.00,185.00,1,low,8,159.62,183.74,4,medium,9,273.24,259.00,7,high,138.49,20,21.13,1.13,0.7,Y,Holofoil (Hidden Fates: Shiny Vault); Holofoil (Skyridge); Holofoil (Skyridge); Holofoil (Aquapolis); Normal (SM - Ultra Prism); Holofoil (SM - Cosmic Eclipse); Normal (SM - Unified Minds); Normal (Diamond and Pearl); Normal (XY - BREAKthrough); Normal (EX Trainer Kit 1: Latias & Latios); Normal (Delta Species); Normal (Plasma Storm); Normal (Plasma Storm); Normal (World Championship Decks); Normal (World Championship Decks); Normal (Triumphant); Normal (Stormfront); Normal (Stormfront); Normal (Team Rocket Returns); Holofoil (XY - Evolutions); Normal (Dragon); Normal (SM - Forbidden Light); 1st Edition (Team Rocket); Normal (FireRed & LeafGreen); 1st Edition (Fossil); Normal (Legend Maker); Normal (World Championship Decks); Normal (World Championship Decks); Normal (World Championship Decks); Normal (Delta Species); Normal (Dragon); Normal (World Championship Decks); Normal (World Championship Decks); Normal (Power Keepers); Holofoil (SV: Scarlet & Violet Promo Cards); Holofoil (SV: Scarlet & Violet Promo Cards); Holofoil (SV: Scarlet & Violet Promo Cards); Holofoil (SV: Scarlet & Violet Promo Cards); 1st Edition Holofoil (Team Rocket); 1st Edition Holofoil (Fossil); Normal (SWSH10: Astral Radiance); 1st Edition Holofoil (Neo Revelation); Normal (SV: Scarlet & Violet 151); Normal (SV01: Scarlet & Violet Base Set); Normal (SV03: Obsidian Flames); Normal (SV08: Surging Sparks); Normal (Prize Pack Series Cards); Normal (ME01: Mega Evolution); Normal (Deck Exclusives); Normal (Legendary Collection)
65,Magneton,H19/H32,Skyridge,Holofoil,9,"Holo scratch, edges indent back top, corner back whitening",8,159.62,183.74,4,medium,9,273.24,259.00,7,high,10,587.50,587.50,2,medium,138.49,20,134.75,114.75,72.4,Y,Holofoil (Hidden Fates: Shiny Vault); Holofoil (Skyridge); Holofoil (Skyridge); Holofoil (Aquapolis); Normal (SM - Ultra Prism); Holofoil (SM - Cosmic Eclipse); Normal (SM - Unified Minds); Normal (Diamond and Pearl); Normal (XY - BREAKthrough); Normal (EX Trainer Kit 1: Latias & Latios); Normal (Delta Species); Normal (Plasma Storm); Normal (Plasma Storm); Normal (World Championship Decks); Normal (World Championship Decks); Normal (Triumphant); Normal (Stormfront); Normal (Stormfront); Normal (Team Rocket Returns); Holofoil (XY - Evolutions); Normal (Dragon); Normal (SM - Forbidden Light); 1st Edition (Team Rocket); Normal (FireRed & LeafGreen); 1st Edition (Fossil); Normal (Legend Maker); Normal (World Championship Decks); Normal (World Championship Decks); Normal (World Championship Decks); Normal (Delta Species); Normal (Dragon); Normal (World Championship Decks); Normal (World Championship Decks); Normal (Power Keepers); Holofoil (SV: Scarlet & Violet Promo Cards); Holofoil (SV: Scarlet & Violet Promo Cards); Holofoil (SV: Scarlet & Violet Promo Cards); Holofoil (SV: Scarlet & Violet Promo Cards); 1st Edition Holofoil (Team Rocket); 1st Edition Holofoil (Fossil); Normal (SWSH10: Astral Radiance); 1st Edition Holofoil (Neo Revelation); Normal (SV: Scarlet & Violet 151); Normal (SV01: Scarlet & Violet Base Set); Normal (SV03: Obsidian Flames); Normal (SV08: Surging Sparks); Normal (Prize Pack Series Cards); Normal (ME01: Mega Evolution); Normal (Deck Exclusives); Normal (Legendary Collection)
66,Rhydon,H27/H32,Skyridge,Holofoil,9,Tiny dot at back bottom and left,8,,,0,low,9,379.00,373.00,4,medium,10,633.54,830.00,3,medium,92.93,20,286.07,266.07,235.6,Y,Holofoil (Skyridge); Normal (SM - Unbroken Bonds); Normal (Supreme Victors); Normal (XY - Primal Clash); Normal (SM - Burning Shadows); Normal (XY Base Set); Normal (Diamond and Pearl); Normal (Hidden Legends); Normal (World Championship Decks); 1st Edition (Jungle); Normal (XY Trainer Kit: Latias & Latios); Normal (XY Trainer Kit: Latias & Latios); Normal (Team Magma vs Team Aqua); Normal (Emerald); Normal (SV: Scarlet & Violet 151); Holofoil (Team Magma vs Team Aqua); Normal (SWSH01: Sword & Shield Base Set); Normal (SWSH11: Lost Origin); Normal (SV07: Stellar Crown); Normal (Base Set 2); Normal (Legendary Collection); Normal (Skyridge); 1st Edition Holofoil (Gym Heroes)
66,Rhydon,H27/H32,Skyridge,Holofoil,10,Tiny dot at back bottom and left,9,379.00,373.00,4,medium,10,633.54,830.00,3,medium,N/A,,,0,N/A,92.93,20,540.61,520.61,461.0,Y,Holofoil (Skyridge); Normal (SM - Unbroken Bonds); Normal (Supreme Victors); Normal (XY - Primal Clash); Normal (SM - Burning Shadows); Normal (XY Base Set); Normal (Diamond and Pearl); Normal (Hidden Legends); Normal (World Championship Decks); 1st Edition (Jungle); Normal (XY Trainer Kit: Latias & Latios); Normal (XY Trainer Kit: Latias & Latios); Normal (Team Magma vs Team Aqua); Normal (Emerald); Normal (SV: Scarlet & Violet 151); Holofoil (Team Magma vs Team Aqua); Normal (SWSH01: Sword & Shield Base Set); Normal (SWSH11: Lost Origin); Normal (SV07: Stellar Crown); Normal (Base Set 2); Normal (Legendary Collection); Normal (Skyridge); 1st Edition Holofoil (Gym Heroes)
67,Dark Ivysaur,6,Best of Promos,Normal,9,"Tiny dot corner top, top, bottom left",8,,,0,low,9,,,0,low,10,,,0,low,32.14,20,,,,Y,Normal (Dark Explorers); Normal (Best of Promos); Normal (Best of Promos)
68,Venusaur,30/165,Expedition,Holofoil,9,"Very tiny dot at the corner back, top edges",8,182.49,182.49,2,medium,9,230.00,230.00,1,low,10,5000.00,5000.00,1,low,75.00,20,155.00,135.00,142.1,Y,Holofoil (XY Promos); Holofoil (XY Promos); Holofoil (Jumbo Cards); Holofoil (SWSH: Sword & Shield Promo Cards); Holofoil (Jumbo Cards); Holofoil (SWSH: Sword & Shield Promo Cards); Holofoil (SM Promos); Holofoil (SM Promos); Normal (XY - Evolutions); Normal (Shining Legends); Holofoil (Dark Explorers); Normal (Crystal Guardians); Holofoil (SM - Cosmic Eclipse); Holofoil (SM - Cosmic Eclipse); Holofoil (Secret Wonders); Holofoil (Generations); Holofoil (XY Base Set); Holofoil (XY - Evolutions); Holofoil (SV: Scarlet & Violet 151); Holofoil (SM - Team Up); Holofoil (SV: Scarlet & Violet 151); Holofoil (ME01: Mega Evolution); Holofoil (SM - Team Up); Holofoil (ME01: Mega Evolution); Holofoil (Celebrations: Classic Collection); Holofoil (XY Base Set); Holofoil (WoTC Promo); Holofoil (Supreme Victors); Holofoil (FireRed & LeafGreen); Holofoil (XY - Evolutions); Holofoil (Generations); Holofoil (SM - Cosmic Eclipse); Holofoil (SM - Team Up); Holofoil (XY Base Set); Holofoil (XY - Evolutions); Holofoil (Rumble); Normal (Expedition); Normal (Expedition); Holofoil (Expedition); Holofoil (Deck Exclusives); Normal (League & Championship Cards); Normal (Deck Exclusives); Holofoil (Base Set 2); Holofoil (Legendary Collection); 1st Edition Holofoil (Base Set (Shadowless)); Holofoil (Base Set); Normal (Deck Exclusives); Holofoil (ME: Mega Evolution Promo); Holofoil (Jumbo Cards); Holofoil (Champion's Path)
69,Kingdra,12/109,Team Rocket Returns,Holofoil,9,Centering at the back,8,58.00,58.00,1,low,9,105.00,105.00,1,low,10,619.00,619.00,1,low,28.11,20,76.89,56.89,118.2,Y,Holofoil (XY Promos); Holofoil (XY Promos); Holofoil (SWSH10: Astral Radiance Trainer Gallery); Holofoil (SM Promos); Holofoil (Aquapolis); Holofoil (Dragon Frontiers); Holofoil (Dragon); Holofoil (Unleashed); Normal (World Championship Decks); Holofoil (Plasma Freeze); Holofoil (XY - Fates Collide); Holofoil (Legends Awakened); Holofoil (Dragon Majesty); Holofoil (SM - Burning Shadows); 1st Edition (Neo Revelation); Holofoil (Dragon Majesty); Normal (Unleashed); Holofoil (Aquapolis); Holofoil (SV: Scarlet & Violet Promo Cards); Holofoil (XY - Fates Collide); Holofoil (Team Rocket Returns); Holofoil (XY - Primal Clash); Normal (XY - Primal Clash); Holofoil (Holon Phantoms); Holofoil (SV: Shrouded Fable); Holofoil (Jumbo Cards); Normal (Deck Exclusives); Holofoil (SWSH11: Lost Origin); Holofoil (SWSH05: Battle Styles); Holofoil (SV04: Paradox Rift); Holofoil (Miscellaneous Cards & Products); Normal (Deck Exclusives); Normal (Aquapolis); Holofoil (SV: Shrouded Fable); Holofoil (Miscellaneous Cards & Products); 1st Edition Holofoil (Neo Genesis); Normal (SV: Shrouded Fable)
69,Kingdra,12/109,Team Rocket Returns,Holofoil,10,Centering at the back,9,105.00,105.00,1,low,10,619.00,619.00,1,low,N/A,,,0,N/A,28.11,20,590.89,570.89,1186.6,Y,Holofoil (XY Promos); Holofoil (XY Promos); Holofoil (SWSH10: Astral Radiance Trainer Gallery); Holofoil (SM Promos); Holofoil (Aquapolis); Holofoil (Dragon Frontiers); Holofoil (Dragon); Holofoil (Unleashed); Normal (World Championship Decks); Holofoil (Plasma Freeze); Holofoil (XY - Fates Collide); Holofoil (Legends Awakened); Holofoil (Dragon Majesty); Holofoil (SM - Burning Shadows); 1st Edition (Neo Revelation); Holofoil (Dragon Majesty); Normal (Unleashed); Holofoil (Aquapolis); Holofoil (SV: Scarlet & Violet Promo Cards); Holofoil (XY - Fates Collide); Holofoil (Team Rocket Returns); Holofoil (XY - Primal Clash); Normal (XY - Primal Clash); Holofoil (Holon Phantoms); Holofoil (SV: Shrouded Fable); Holofoil (Jumbo Cards); Normal (Deck Exclusives); Holofoil (SWSH11: Lost Origin); Holofoil (SWSH05: Battle Styles); Holofoil (SV04: Paradox Rift); Holofoil (Miscellaneous Cards & Products); Normal (Deck Exclusives); Normal (Aquapolis); Holofoil (SV: Shrouded Fable); Holofoil (Miscellaneous Cards & Products); 1st Edition Holofoil (Neo Genesis); Normal (SV: Shrouded Fable)
70,Mew,55/165,Expedition,Normal,7,"Front light scratch, back whitening",6,,,0,low,7,,,0,low,8,72.50,72.50,2,medium,75.44,20,,,,Y,Normal (Expedition); Normal (Expedition); Holofoil (Expedition); Holofoil (Expedition)
70,Mew,55/165,Expedition,Normal,8,"Front light scratch, back whitening",7,,,0,low,8,72.50,72.50,2,medium,9,,,0,low,75.44,20,-2.94,-22.94,-24.0,Y,Normal (Expedition); Normal (Expedition); Holofoil (Expedition); Holofoil (Expedition)
71,Rocket's Sneasel,5,Best of Promos,Normal,9,"Centering back off, right back and top corner whitening",8,,,0,low,9,,,0,low,10,,,0,low,17.41,20,,,,Y,Holofoil (SV10: Destined Rivals); Holofoil (Team Rocket Returns); Normal (Best of Promos); Normal (Best of Promos)
72,Rocket's Scizor,4,Best of Promos,Normal,9,"Whitening dot at the back, centering left right",8,,,0,low,9,,,0,low,10,,,0,low,26.26,20,,,,Y,Holofoil (Team Rocket Returns); Normal (Best of Promos); Normal (Best of Promos)
